sale_id,customer_id,product_name,product_category,sales_amount,sale_date,cost_price,quantity_sold,rating,promotion,feedback
1,1017,Smartphone Z,Eletrônicos,202,2024-12-17,1,3,2.0,True,Ruim
2,1011,Tênis RunFast,Calçados,456,2024-05-26,144,4,1.0,True,Muito bom
3,1091,Camiseta Tech,Vestuário,2169,2024-04-22,1851,1,5.0,False,Ruim
4,1089,Camiseta Tech,Vestuário,1939,2025-01-25,1628,3,1.0,False,Ruim
5,1011,Smartwatch Q,Eletrônicos,1238,2024-07-28,1149,2,3.0,False,Muito bom
6,1093,Smartphone Z,Eletrônicos,1570,2024-07-17,1384,5,3.0,False,Muito bom
7,1080,Tênis RunFast,Calçados,611,2024-07-08,408,1,5.0,False,Excelente
8,1029,Carregador Turbo,Acessórios,887,2024-06-06,517,1,1.0,False,
9,1081,Smartphone Z,Eletrônicos,1053,2025-01-24,992,4,3.0,False,Poderia ser melhor
10,1089,Mouse Gamer,Acessórios,1616,2024-05-22,1425,2,,True,Excelente
11,1020,Carregador Turbo,Acessórios,2700,2024-12-31,2603,5,,False,Ruim
12,1041,Jaqueta Sport,Vestuário,1205,2025-01-25,868,5,2.0,True,
13,1027,Camiseta Tech,Vestuário,231,2025-03-25,60,4,3.0,False,Muito bom
14,1018,Camiseta Tech,Vestuário,2784,2024-11-10,2519,4,,False,Poderia ser melhor
15,1095,Mouse Gamer,Acessórios,1110,2024-05-16,719,5,5.0,False,Excelente
16,1063,Carregador Turbo,Acessórios,1735,2024-11-28,1540,2,2.0,True,Satisfeito
17,1076,Notebook X,Eletrônicos,549,2024-09-23,461,2,,True,Poderia ser melhor
18,1070,Jaqueta Sport,Vestuário,1663,2024-04-25,1348,4,5.0,True,Excelente
19,1014,Smartphone Z,Eletrônicos,2892,2024-04-24,2608,3,,False,Excelente
20,1033,Jaqueta Sport,Vestuário,747,2024-05-19,505,1,,True,
21,1077,Tênis RunFast,Calçados,535,2024-07-06,205,3,,True,Satisfeito
22,1000,Mouse Gamer,Acessórios,1631,2024-07-12,1231,2,5.0,False,Satisfeito
23,1007,Teclado Mecânico,Acessórios,179,2024-10-26,112,3,3.0,True,Ruim
24,1098,Carregador Turbo,Acessórios,422,2024-12-02,369,4,1.0,True,Satisfeito
25,1067,Mouse Gamer,Acessórios,2802,2024-04-23,2549,5,2.0,False,Excelente
26,1051,Camiseta Tech,Vestuário,2308,2024-11-16,1912,2,,False,Excelente
27,1008,Teclado Mecânico,Acessórios,2219,2024-06-29,1978,1,2.0,False,Ruim
28,1000,Notebook X,Eletrônicos,2509,2025-01-16,2216,2,5.0,True,Ruim
29,1065,Notebook X,Eletrônicos,1037,2024-12-21,993,1,3.0,True,Muito bom
30,1092,Headset Pro,Acessórios,2840,2025-01-10,2582,2,5.0,False,Ruim
31,1084,Camiseta Tech,Vestuário,2037,2024-11-10,1819,2,1.0,False,Muito bom
32,1086,Smartwatch Q,Eletrônicos,1834,2024-09-22,1614,4,,True,Muito bom
33,1024,Notebook X,Eletrônicos,1749,2024-07-07,1367,3,1.0,True,Ruim
34,1059,Tênis RunFast,Calçados,1937,2024-10-04,1856,4,2.0,True,Excelente
35,1069,Smartphone Z,Eletrônicos,1915,2024-11-27,1624,1,1.0,True,
36,1027,Smartphone Z,Eletrônicos,1068,2024-07-30,973,4,4.0,False,Poderia ser melhor
37,1100,Notebook X,Eletrônicos,774,2025-02-21,570,1,4.0,False,Excelente
38,1062,Headset Pro,Acessórios,1832,2025-03-16,1466,5,,True,
39,1069,Camiseta Tech,Vestuário,1315,2024-04-15,1194,1,5.0,True,
40,1067,Smartwatch Q,Eletrônicos,334,2025-02-01,299,5,4.0,True,Satisfeito
41,1008,Notebook X,Eletrônicos,2180,2025-02-19,2129,2,1.0,True,Satisfeito
42,1005,Jaqueta Sport,Vestuário,591,2024-06-14,290,2,5.0,True,Satisfeito
43,1033,Jaqueta Sport,Vestuário,2792,2025-01-09,2484,5,5.0,True,Excelente
44,1082,Smartwatch Q,Eletrônicos,1077,2024-09-24,932,4,2.0,False,
45,1079,Teclado Mecânico,Acessórios,1395,2024-08-23,1001,1,1.0,True,Poderia ser melhor
46,1044,Smartphone Z,Eletrônicos,2302,2024-07-29,2183,5,3.0,True,Ruim
