sale_id,customer_id,product_name,product_category,sales_amount,sale_date,cost_price,quantity_sold,rating,promotion,feedback
167,1,Laptop,Computacao,957,2/12/2022,742,1,3,True,O produto nao atendeu as minhas expectativas.
152,1,Tablet,Computacao,828,3/22/2022,672,4,3,True,nao vale o preco
122,1,Camera,Computacao,231,8/10/2022,922,1,4,False,
117,1,Smartwatch,Computacao,305,9/16/2022,43,4,3,False,
71,1,Camera,Dispositivos Moveis,452,11/27/2023,431,2,3,False,
115,2,Smartphone,Acessorios,930,6/11/2022,610,4,2,False,
138,2,Laptop,Dispositivos Moveis,582,11/2/2022,825,2,5,True,
54,2,Smartwatch,Dispositivos Moveis,933,2/13/2023,913,4,1,False,Muito diferente da descricao
67,2,Charger,Acessorios,113,10/14/2023,95,5,1,False,
83,2,Tablet,Computacao,956,11/3/2023,938,1,5,True,
146,3,Laptop,Acessorios,766,6/15/2022,829,2,4,True,
166,3,Smartphone,Acessorios,362,8/23/2022,227,5,1,False,nao vale o preco
170,3,Headphones,Acessorios,907,9/6/2022,828,3,1,True,
80,3,Headphones,Acessorios,701,2/15/2023,690,3,1,False,O produto nao atendeu as minhas expectativas.
91,4,Laptop,Computacao,902,3/21/2023,875,1,1,False,nao vale o preco.
168,5,Headphones,Acessorios,559,8/28/2022,485,3,5,True,Muito diferente da descricao
78,5,Smartphone,Dispositivos Moveis,816,7/16/2023,777,5,4,True,
44,5,Smartphone,Dispositivos Moveis,640,8/11/2023,602,1,2,False,O produto nao atendeu as minhas expectativas.
96,5,Camera,Dispositivos Moveis,188,10/6/2023,154,4,2,False,A qualidade nao e  tao boa quanto eu esperava.
156,6,Smartphone,Computacao,443,7/3/2022,134,5,4,False,Chegou com defeito.
141,6,Camera,Computacao,213,10/13/2022,384,2,5,False,
86,6,Camera,Dispositivos Moveis,250,4/17/2023,226,4,5,False,A qualidade nao e  tao boa quanto eu esperava.
20,6,Tablet,Computacao,884,6/11/2023,872,4,2,True,
72,6,Smartwatch,Dispositivos Moveis,532,10/4/2023,499,4,1,False,Chegou com defeito.
